subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,2021-13-12,R,76.792488,19.971529,2021-13-12 08:59
Trump,2021-13-12,all,38.940859,57.001143,2021-13-12 08:59
Trump,2021-13-12,I,35.912502,57.484054,2021-13-12 08:59
Trump,2021-12-12,D,9.4143635,87.934516,2021-13-12 08:59
Biden,2021-12-12,R,14.942193,80.361946,2021-13-12 08:59
Biden,2021-12-12,all,47.545875,45.173822,2021-13-12 08:59
Biden,2021-12-12,I,40.39767,49.894758,2021-13-12 08:59
Trump,2021-12-12,I,35.912502,57.484054,2021-13-12 08:59
Trump,2021-12-12,all,38.940859,57.001143,2021-13-12 08:59
Trump,2021-12-12,R,76.792488,19.971529,2021-13-12 08:59
Biden,2021-12-12,D,85.087707,10.921535,2021-13-12 08:59
Trump,2021-11-12,D,9.4143635,87.934516,2021-13-12 08:59
Trump,2021-11-12,I,35.912502,57.484054,2021-13-12 08:59
Trump,2021-11-12,all,38.940859,57.001143,2021-13-12 08:59
Trump,2021-11-12,R,76.792488,19.971529,2021-13-12 08:59
Biden,2021-11-12,I,40.39767,49.894758,2021-13-12 08:59
Biden,2021-11-12,D,85.087707,10.921535,2021-13-12 08:59
Biden,2021-11-12,R,14.942193,80.361946,2021-13-12 08:59
Biden,2021-11-12,all,47.545875,45.173822,2021-13-12 08:59
Biden,2021-10-12,D,85.087707,10.921535,2021-10-12 09:39
Trump,2021-10-12,D,9.4143635,87.934516,2021-10-12 09:39
Biden,2021-10-12,I,40.39767,49.894758,2021-10-12 09:39
Trump,2021-10-12,I,35.912502,57.484054,2021-10-12 09:39
Biden,2021-10-12,R,14.942193,80.361946,2021-10-12 09:39
Trump,2021-10-12,R,76.792488,19.971529,2021-10-12 09:39
Biden,2021-10-12,all,47.365875,45.121209,2021-10-12 09:39
Trump,2021-10-12,all,38.940859,57.001143,2021-10-12 09:39
Biden,2021-09-12,D,85.087707,10.921535,2021-09-12 12:57
Trump,2021-09-12,D,9.4143635,87.934516,2021-09-12 12:57
Biden,2021-09-12,I,40.39767,49.894758,2021-09-12 12:57
Trump,2021-09-12,I,35.912502,57.484054,2021-09-12 12:57
Biden,2021-09-12,R,14.942193,80.361946,2021-09-12 12:57
